ID,単語（見出し語）,意味（現代語訳）,品詞,活用の種類,未然形,連用形,終止形,連体形,已然形,命令形
1,あり,"存在する、ある、生きている",動詞,ラ行変格活用,あら,あり,あり,ある,あれ,あれ
2,をり,"存在する、居る、生きて生活する",動詞,ラ行変格活用,をら,をり,をり,をる,をれ,をれ
3,はべる,お仕えする、ございます,動詞,ラ行変格活用,はべら,はべり,はべる,はべる,はべれ,はべれ
4,いますかり,いらっしゃる、おいでになる,動詞,ラ行変格活用,いますから,いますかり,いますかり,いますかる,いますかれ,いますかれ
5,おどろく,（はっと）気づく、目を覚ます,動詞,カ行四段活用,おどろか,おどろき,おどろく,おどろく,おどろけ,おどろけ
6,ののしる,大声で騒ぐ、評判になる、羽振りをきかす,動詞,ラ行四段活用,ののしら,ののしり,ののしる,ののしる,ののしれ,ののしれ
7,めづ,愛する、褒める、心惹かれる,動詞,ダ行下二段活用,めで,めで,めづ,むづる,むづれ,めだよ
8,おぼゆ,（自然と）思われる、似ている、思い出す,動詞,ヤ行下二段活用,おぼえ,おぼえ,おぼゆ,おぼゆる,おぼゆれ,おぼえよ
9,しのぶ,我慢する、人目を避ける、懐かしむ,動詞,ハ行四段活用,しのば,しのび,しのぶ,しのぶ,しのべ,しのべ
10,おこたる,病気がよくなる、快復する、怠ける,動詞,ラ行四段活用,おこたら,おこたり,おこたる,おこたる,おこたれ,おこたれ
11,あふ,結婚する、めぐり合う,動詞,ハ行四段活用,あha,あhi,あふ,あふ,あへ,あへ
12,うつろふ,色あせる、散る、心変わりする,動詞,ハ行四段活用,うつろは,うつろひ,うつろふ,うつろふ,うつろへ,うつろへ
13,うつくし,かわいらしい、いとしい、見事だ,形容詞,シク活用,うつくしか,うつくしく,うつくし,うつくしき,うつくしけれ,○
14,かなし,愛おしい、かわいい、悲しい,形容詞,シク活用,かなしか,かなしく,かなし,かなしki,かなしけれ,○
15,いみじ,たいそう、素晴らしい、ひどい,形容詞,シク活用,いみじか,いみじく,いみじ,いみじき,いみじけれ,○
16,をかし,趣がある、美しい、滑稽だ,形容詞,ク活用,をかしか,をかしく,をかし,をかしき,をかしけれ,○
17,あやし,不思議だ、身分が低い、見苦しい,形容詞,シク活用,あやしか,あやしく,あやし,あやしき,あやしけれ,○
18,すさまじ,興ざめだ、殺風景だ、ひどい,形容詞,シク活用,すさまじか,すさまじく,すさまじ,すさまじき,すさまじけれ,○
19,あてなり,身分が高い、高貴だ、上品だ,形容動詞,ナリ活用,あてなら,あてなり,あてなり,あてなる,あてなれ,あてなれ
20,いうなり,優美だ、上品だ、上手だ,形容動詞,ナリ活用,いうなら,いうなり,いうなり,いうなる,いうなれ,いうなれ
